date,cardano
2018-05-31,5.0
2018-06-01,4.0
2018-06-02,3.0
2018-06-03,4.0
2018-06-04,4.0
2018-06-05,4.0
2018-06-06,3.0
2018-06-07,4.0
2018-06-08,4.0
2018-06-09,3.0
2018-06-10,3.0
2018-06-11,4.0
2018-06-12,4.0
2018-06-13,3.0
2018-06-14,4.0
2018-06-15,4.0
2018-06-16,2.0
2018-06-17,2.0
2018-06-18,3.0
2018-06-19,3.0
2018-06-20,3.0
2018-06-21,3.0
2018-06-22,5.0
2018-06-23,4.0
2018-06-24,3.0
2018-06-25,4.0
2018-06-26,4.0
2018-06-27,3.0
2018-06-28,3.0
2018-06-29,4.0
2018-06-30,3.0
2018-07-01,2.0
2018-07-02,5.0
2018-07-03,4.0
2018-07-04,4.0
2018-07-05,4.0
2018-07-06,4.0
2018-07-07,3.0
2018-07-08,3.0
2018-07-09,4.0
2018-07-10,4.0
2018-07-11,3.0
2018-07-12,3.0
2018-07-13,4.0
2018-07-14,5.0
2018-07-15,4.0
2018-07-16,5.0
2018-07-17,4.0
2018-07-18,7.0
2018-07-19,6.0
2018-07-20,5.0
2018-07-21,3.0
2018-07-22,5.0
2018-07-23,5.0
2018-07-24,4.0
2018-07-25,3.0
2018-07-26,5.0
2018-07-27,4.0
2018-07-28,2.0
2018-07-29,3.0
2018-07-30,3.0
2018-07-31,5.0
2018-08-01,3.0
2018-08-02,3.0
2018-08-03,5.0
2018-08-04,4.0
2018-08-05,5.0
2018-08-06,3.0
2018-08-07,4.0
2018-08-08,3.0
2018-08-09,4.0
2018-08-10,3.0
2018-08-11,4.0
2018-08-12,4.0
2018-08-13,4.0
2018-08-14,5.0
2018-08-15,3.0
2018-08-16,3.0
2018-08-17,3.0
2018-08-18,4.0
2018-08-19,3.0
2018-08-20,3.0
2018-08-21,3.0
2018-08-22,3.0
2018-08-23,3.0
2018-08-24,4.0
2018-08-25,5.0
2018-08-26,3.0
2018-08-27,3.0
2018-08-28,3.0
2018-08-29,4.0
2018-08-30,4.0
2018-08-31,4.0
2018-09-01,4.0
2018-09-02,3.0
2018-09-03,3.0
2018-09-04,3.0
2018-09-05,4.0
2018-09-06,3.0
2018-09-07,3.0
2018-09-08,3.0
2018-09-09,3.0
2018-09-10,5.0
2018-09-11,5.0
2018-09-12,6.0
2018-09-13,4.0
2018-09-14,4.0
2018-09-15,5.0
2018-09-16,3.0
2018-09-17,5.0
2018-09-18,4.0
2018-09-19,3.0
2018-09-20,4.0
2018-09-21,5.0
2018-09-22,4.0
2018-09-23,3.0
2018-09-24,4.0
2018-09-25,6.0
2018-09-26,5.0
2018-09-27,4.0
2018-09-28,5.0
2018-09-29,5.0
2018-09-30,4.0
2018-10-01,3.0
2018-10-02,4.0
2018-10-03,3.0
2018-10-04,4.0
2018-10-05,5.0
2018-10-06,3.0
2018-10-07,3.0
2018-10-08,3.0
2018-10-09,5.0
2018-10-10,4.0
2018-10-11,4.0
2018-10-12,4.0
2018-10-13,5.0
2018-10-14,4.0
2018-10-15,4.0
2018-10-16,4.0
2018-10-17,3.0
2018-10-18,4.0
2018-10-19,3.0
2018-10-20,3.0
2018-10-21,3.0
2018-10-22,4.0
2018-10-23,2.0
2018-10-24,3.0
2018-10-25,4.0
2018-10-26,3.0
2018-10-27,4.0
2018-10-28,4.0
2018-10-29,3.0
2018-10-30,3.0
2018-10-31,4.0
2018-11-01,4.0
2018-11-02,2.0
2018-11-03,2.0
2018-11-04,3.0
2018-11-05,4.0
2018-11-06,5.0
2018-11-07,5.0
2018-11-08,4.0
2018-11-09,3.0
2018-11-10,3.0
2018-11-11,4.0
2018-11-12,4.0
2018-11-13,3.0
2018-11-14,3.0
2018-11-15,4.0
2018-11-16,3.0
2018-11-17,4.0
2018-11-18,2.0
2018-11-19,3.0
2018-11-20,5.0
2018-11-21,4.0
2018-11-22,3.0
2018-11-23,3.0
2018-11-24,3.0
2018-11-25,3.0
2018-11-26,4.0
2018-11-27,3.0
2018-11-28,4.0
2018-11-29,4.0
2018-11-30,4.0
2018-12-01,3.0
2018-12-02,3.0
2018-12-03,3.0
2018-12-04,3.0
2018-12-05,2.0
2018-12-06,2.0
2018-12-07,4.0
2018-12-08,3.0
2018-12-09,3.0
2018-12-10,5.0
2018-12-11,6.0
2018-12-12,3.0
2018-12-13,2.0
2018-12-14,3.0
2018-12-15,3.0
2018-12-16,3.0
2018-12-17,3.0
2018-12-18,4.0
2018-12-19,4.0
2018-12-20,4.0
2018-12-21,5.0
2018-12-22,3.0
2018-12-23,2.0
2018-12-24,3.0
2018-12-25,3.0
2018-12-26,4.0
2018-12-27,5.0
2018-12-28,3.0
2018-12-29,3.0
2018-12-30,3.0
2018-12-31,3.0
2019-01-01,4.0
2019-01-02,3.0
2019-01-03,3.0
2019-01-04,3.0
2019-01-05,3.0
2019-01-06,5.0
2019-01-07,5.0
2019-01-08,5.0
2019-01-09,7.0
2019-01-10,4.0
2019-01-11,5.0
2019-01-12,3.0
2019-01-13,3.0
2019-01-14,4.0
2019-01-15,5.0
2019-01-16,3.0
2019-01-17,2.0
2019-01-18,3.0
2019-01-19,5.0
2019-01-20,2.0
2019-01-21,4.0
2019-01-22,3.0
2019-01-23,4.0
2019-01-24,4.0
2019-01-25,4.0
2019-01-26,2.0
2019-01-27,5.0
2019-01-28,3.0
2019-01-29,3.0
2019-01-30,4.0
2019-01-31,3.0
2019-02-01,2.0
2019-02-02,2.0
2019-02-03,3.0
2019-02-04,3.0
2019-02-05,4.0
2019-02-06,5.0
2019-02-07,3.0
2019-02-08,3.0
2019-02-09,4.0
2019-02-10,3.0
2019-02-11,3.0
2019-02-12,5.0
2019-02-13,4.0
2019-02-14,3.0
2019-02-15,4.0
2019-02-16,2.0
2019-02-17,2.0
2019-02-18,5.0
2019-02-19,4.0
2019-02-20,5.0
2019-02-21,5.0
2019-02-22,2.0
2019-02-23,2.0
2019-02-24,5.0
2019-02-25,3.0
2019-02-26,3.0
2019-02-27,3.0
2019-02-28,3.0
2019-03-01,3.0
2019-03-02,3.0
2019-03-03,2.0
2019-03-04,3.0
2019-03-05,3.0
2019-03-06,2.0
2019-03-07,3.0
2019-03-08,3.0
2019-03-09,3.0
2019-03-10,3.0
2019-03-11,4.0
2019-03-12,4.0
2019-03-13,3.0
2019-03-14,2.0
2019-03-15,4.0
2019-03-16,5.0
2019-03-17,4.0
2019-03-18,3.0
2019-03-19,3.0
2019-03-20,5.0
2019-03-21,3.0
2019-03-22,5.0
2019-03-23,6.0
2019-03-24,4.0
2019-03-25,5.0
2019-03-26,4.0
2019-03-27,6.0
2019-03-28,5.0
2019-03-29,5.0
2019-03-30,6.0
2019-03-31,3.0
2019-04-01,4.0
2019-04-02,5.0
2019-04-03,6.0
2019-04-04,11.0
2019-04-05,4.0
2019-04-06,4.0
2019-04-07,4.0
2019-04-08,5.0
2019-04-09,3.0
2019-04-10,4.0
2019-04-11,4.0
2019-04-12,4.0
2019-04-13,3.0
2019-04-14,4.0
2019-04-15,3.0
2019-04-16,4.0
2019-04-17,5.0
2019-04-18,4.0
2019-04-19,4.0
2019-04-20,3.0
2019-04-21,4.0
2019-04-22,4.0
2019-04-23,4.0
2019-04-24,3.0
2019-04-25,3.0
2019-04-26,3.0
2019-04-27,3.0
2019-04-28,3.0
2019-04-29,3.0
2019-04-30,3.0
2019-05-01,2.0
2019-05-02,2.0
2019-05-03,3.0
2019-05-04,3.0
2019-05-05,2.0
2019-05-06,2.0
2019-05-07,3.0
2019-05-08,4.0
2019-05-09,3.0
2019-05-10,3.0
2019-05-11,4.0
2019-05-12,3.0
2019-05-13,4.0
2019-05-14,5.0
2019-05-15,5.0
2019-05-16,6.0
2019-05-17,5.0
2019-05-18,5.0
2019-05-19,4.0
2019-05-20,3.0
2019-05-21,4.0
2019-05-22,5.0
2019-05-23,4.0
2019-05-24,4.0
2019-05-25,3.0
2019-05-26,3.0
2019-05-27,5.0
2019-05-28,4.0
2019-05-29,5.0
2019-05-30,6.0
2019-05-31,3.0
2019-06-01,3.0
2019-06-02,5.0
2019-06-03,5.0
2019-06-04,3.0
2019-06-05,3.0
2019-06-06,5.0
2019-06-07,3.0
2019-06-08,3.0
2019-06-09,1.0
2019-06-10,3.0
2019-06-11,3.0
2019-06-12,4.0
2019-06-13,3.0
2019-06-14,2.0
2019-06-15,3.0
2019-06-16,4.0
2019-06-17,3.0
2019-06-18,2.0
2019-06-19,3.0
2019-06-20,4.0
2019-06-21,4.0
2019-06-22,4.0
2019-06-23,3.0
2019-06-24,4.0
2019-06-25,4.0
2019-06-26,4.0
2019-06-27,3.0
2019-06-28,3.0
2019-06-29,4.0
2019-06-30,4.0
2019-07-01,2.0
2019-07-02,3.0
2019-07-03,2.0
2019-07-04,3.0
2019-07-05,3.0
2019-07-06,2.0
2019-07-07,1.0
2019-07-08,3.0
2019-07-09,3.0
2019-07-10,4.0
2019-07-11,4.0
2019-07-12,1.0
2019-07-13,2.0
2019-07-14,4.0
2019-07-15,2.0
2019-07-16,3.0
2019-07-17,2.0
2019-07-18,2.0
2019-07-19,2.0
2019-07-20,2.0
2019-07-21,2.0
2019-07-22,3.0
2019-07-23,2.0
2019-07-24,3.0
2019-07-25,2.0
2019-07-26,2.0
2019-07-27,2.0
2019-07-28,2.0
2019-07-29,3.0
2019-07-30,2.0
2019-07-31,2.0
2019-08-01,2.0
2019-08-02,2.0
2019-08-03,2.0
2019-08-04,1.0
2019-08-05,3.0
2019-08-06,3.0
2019-08-07,3.0
2019-08-08,2.0
2019-08-09,2.0
2019-08-10,2.0
2019-08-11,2.0
2019-08-12,2.0
2019-08-13,2.0
2019-08-14,2.0
2019-08-15,2.0
2019-08-16,2.0
2019-08-17,3.0
2019-08-18,2.0
2019-08-19,1.0
2019-08-20,2.0
2019-08-21,2.0
2019-08-22,2.0
2019-08-23,2.0
2019-08-24,2.0
2019-08-25,2.0
2019-08-26,2.0
2019-08-27,2.0
2019-08-28,2.0
2019-08-29,2.0
2019-08-30,1.0
2019-08-31,2.0
2019-09-01,2.0
2019-09-02,3.0
2019-09-03,3.0
2019-09-04,3.0
2019-09-05,2.0
2019-09-06,2.0
2019-09-07,2.0
2019-09-08,2.0
2019-09-09,2.0
2019-09-10,3.0
2019-09-11,3.0
2019-09-12,3.0
