date,ripple
2018-05-31,20.0
2018-06-01,21.0
2018-06-02,19.0
2018-06-03,21.0
2018-06-04,24.0
2018-06-05,21.0
2018-06-06,20.0
2018-06-07,20.0
2018-06-08,19.0
2018-06-09,16.0
2018-06-10,16.0
2018-06-11,21.0
2018-06-12,21.0
2018-06-13,21.0
2018-06-14,20.0
2018-06-15,19.0
2018-06-16,16.0
2018-06-17,15.0
2018-06-18,20.0
2018-06-19,16.0
2018-06-20,16.0
2018-06-21,16.0
2018-06-22,20.0
2018-06-23,15.0
2018-06-24,20.0
2018-06-25,17.0
2018-06-26,18.0
2018-06-27,19.0
2018-06-28,18.0
2018-06-29,20.0
2018-06-30,16.0
2018-07-01,16.0
2018-07-02,19.0
2018-07-03,20.0
2018-07-04,15.0
2018-07-05,18.0
2018-07-06,14.0
2018-07-07,14.0
2018-07-08,13.0
2018-07-09,16.0
2018-07-10,15.0
2018-07-11,15.0
2018-07-12,15.0
2018-07-13,14.0
2018-07-14,14.0
2018-07-15,11.0
2018-07-16,14.0
2018-07-17,16.0
2018-07-18,22.0
2018-07-19,19.0
2018-07-20,14.0
2018-07-21,15.0
2018-07-22,14.0
2018-07-23,15.0
2018-07-24,19.0
2018-07-25,17.0
2018-07-26,16.0
2018-07-27,14.0
2018-07-28,15.0
2018-07-29,13.0
2018-07-30,19.0
2018-07-31,15.0
2018-08-01,17.0
2018-08-02,15.0
2018-08-03,14.0
2018-08-04,13.0
2018-08-05,12.0
2018-08-06,16.0
2018-08-07,17.0
2018-08-08,19.0
2018-08-09,18.0
2018-08-10,15.0
2018-08-11,17.0
2018-08-12,14.0
2018-08-13,15.0
2018-08-14,23.0
2018-08-15,19.0
2018-08-16,15.0
2018-08-17,22.0
2018-08-18,16.0
2018-08-19,14.0
2018-08-20,22.0
2018-08-21,22.0
2018-08-22,22.0
2018-08-23,19.0
2018-08-24,16.0
2018-08-25,16.0
2018-08-26,16.0
2018-08-27,15.0
2018-08-28,16.0
2018-08-29,18.0
2018-08-30,17.0
2018-08-31,15.0
2018-09-01,14.0
2018-09-02,16.0
2018-09-03,12.0
2018-09-04,18.0
2018-09-05,18.0
2018-09-06,18.0
2018-09-07,15.0
2018-09-08,14.0
2018-09-09,16.0
2018-09-10,16.0
2018-09-11,19.0
2018-09-12,18.0
2018-09-13,19.0
2018-09-14,14.0
2018-09-15,17.0
2018-09-16,16.0
2018-09-17,18.0
2018-09-18,25.0
2018-09-19,24.0
2018-09-20,34.0
2018-09-21,72.0
2018-09-22,44.0
2018-09-23,33.0
2018-09-24,33.0
2018-09-25,32.0
2018-09-26,31.0
2018-09-27,25.0
2018-09-28,22.0
2018-09-29,25.0
2018-09-30,28.0
2018-10-01,36.0
2018-10-02,28.0
2018-10-03,26.0
2018-10-04,20.0
2018-10-05,24.0
2018-10-06,20.0
2018-10-07,22.0
2018-10-08,20.0
2018-10-09,21.0
2018-10-10,18.0
2018-10-11,22.0
2018-10-12,21.0
2018-10-13,16.0
2018-10-14,16.0
2018-10-15,21.0
2018-10-16,20.0
2018-10-17,18.0
2018-10-18,19.0
2018-10-19,18.0
2018-10-20,16.0
2018-10-21,16.0
2018-10-22,20.0
2018-10-23,20.0
2018-10-24,19.0
2018-10-25,16.0
2018-10-26,16.0
2018-10-27,17.0
2018-10-28,15.0
2018-10-29,18.0
2018-10-30,18.0
2018-10-31,15.0
2018-11-01,16.0
2018-11-02,16.0
2018-11-03,18.0
2018-11-04,17.0
2018-11-05,21.0
2018-11-06,29.0
2018-11-07,21.0
2018-11-08,18.0
2018-11-09,21.0
2018-11-10,16.0
2018-11-11,17.0
2018-11-12,20.0
2018-11-13,20.0
2018-11-14,21.0
2018-11-15,23.0
2018-11-16,21.0
2018-11-17,16.0
2018-11-18,20.0
2018-11-19,21.0
2018-11-20,24.0
2018-11-21,22.0
2018-11-22,17.0
2018-11-23,19.0
2018-11-24,16.0
2018-11-25,22.0
2018-11-26,18.0
2018-11-27,20.0
2018-11-28,21.0
2018-11-29,19.0
2018-11-30,17.0
2018-12-01,15.0
