date,trend
5/31/2018,5
6/1/2018,4
6/2/2018,3
6/3/2018,4
6/4/2018,4
6/5/2018,4
6/6/2018,3
6/7/2018,4
6/8/2018,4
6/9/2018,3
6/10/2018,3
6/11/2018,4
6/12/2018,4
6/13/2018,3
6/14/2018,4
6/15/2018,4
6/16/2018,2
6/17/2018,2
6/18/2018,3
6/19/2018,3
6/20/2018,3
6/21/2018,3
6/22/2018,5
6/23/2018,4
6/24/2018,3
6/25/2018,4
6/26/2018,4
6/27/2018,3
6/28/2018,3
6/29/2018,4
6/30/2018,3
7/1/2018,2
7/2/2018,5
7/3/2018,4
7/4/2018,4
7/5/2018,4
7/6/2018,4
7/7/2018,3
7/8/2018,3
7/9/2018,4
7/10/2018,4
7/11/2018,3
7/12/2018,3
7/13/2018,4
7/14/2018,5
7/15/2018,4
7/16/2018,5
7/17/2018,4
7/18/2018,7
7/19/2018,6
7/20/2018,5
7/21/2018,3
7/22/2018,5
7/23/2018,5
7/24/2018,4
7/25/2018,3
7/26/2018,5
7/27/2018,4
7/28/2018,2
7/29/2018,3
7/30/2018,3
7/31/2018,5
8/1/2018,3
8/2/2018,3
8/3/2018,5
8/4/2018,4
8/5/2018,5
8/6/2018,3
8/7/2018,4
8/8/2018,3
8/9/2018,4
8/10/2018,3
8/11/2018,4
8/12/2018,4
8/13/2018,4
8/14/2018,5
8/15/2018,3
8/16/2018,3
8/17/2018,3
8/18/2018,4
8/19/2018,3
8/20/2018,3
8/21/2018,3
8/22/2018,3
8/23/2018,3
8/24/2018,4
8/25/2018,5
8/26/2018,3
8/27/2018,3
8/28/2018,3
8/29/2018,4
8/30/2018,4
8/31/2018,4
9/1/2018,4
9/2/2018,3
9/3/2018,3
9/4/2018,3
9/5/2018,4
9/6/2018,3
9/7/2018,3
9/8/2018,3
9/9/2018,3
9/10/2018,5
9/11/2018,5
9/12/2018,6
9/13/2018,4
9/14/2018,4
9/15/2018,5
9/16/2018,3
9/17/2018,5
9/18/2018,4
9/19/2018,3
9/20/2018,4
9/21/2018,5
9/22/2018,4
9/23/2018,3
9/24/2018,4
9/25/2018,6
9/26/2018,5
9/27/2018,4
9/28/2018,5
9/29/2018,5
9/30/2018,4
10/1/2018,3
10/2/2018,4
10/3/2018,3
10/4/2018,4
10/5/2018,5
10/6/2018,3
10/7/2018,3
10/8/2018,3
10/9/2018,5
10/10/2018,4
10/11/2018,4
10/12/2018,4
10/13/2018,5
10/14/2018,4
10/15/2018,4
10/16/2018,4
10/17/2018,3
10/18/2018,4
10/19/2018,3
10/20/2018,3
10/21/2018,3
10/22/2018,4
10/23/2018,2
10/24/2018,3
10/25/2018,4
10/26/2018,3
10/27/2018,4
10/28/2018,4
10/29/2018,3
10/30/2018,3
10/31/2018,4
11/1/2018,4
11/2/2018,2
11/3/2018,2
11/4/2018,3
11/5/2018,4
11/6/2018,5
11/7/2018,5
11/8/2018,4
11/9/2018,3
11/10/2018,3
11/11/2018,4
11/12/2018,4
11/13/2018,3
11/14/2018,3
11/15/2018,4
11/16/2018,3
11/17/2018,4
11/18/2018,2
11/19/2018,3
11/20/2018,5
11/21/2018,4
11/22/2018,3
11/23/2018,3
11/24/2018,3
11/25/2018,3
11/26/2018,4
11/27/2018,3
11/28/2018,4
11/29/2018,4
11/30/2018,4
12/1/2018,3
12/2/2018,3
12/3/2018,3
12/4/2018,3
12/5/2018,2
12/6/2018,2
12/7/2018,4
12/8/2018,3
12/9/2018,3
12/10/2018,5
12/11/2018,6
12/12/2018,3
12/13/2018,2
12/14/2018,3
12/15/2018,3
12/16/2018,3
12/17/2018,3
12/18/2018,4
12/19/2018,4
12/20/2018,4
12/21/2018,5
12/22/2018,3
12/23/2018,2
12/24/2018,3
12/25/2018,3
12/26/2018,4
12/27/2018,5
12/28/2018,3
12/29/2018,3
12/30/2018,3
12/31/2018,3
1/1/2019,4
1/2/2019,3
1/3/2019,3
1/4/2019,3
1/5/2019,3
1/6/2019,5
1/7/2019,5
1/8/2019,5
1/9/2019,7
1/10/2019,4
1/11/2019,5
1/12/2019,3
1/13/2019,3
1/14/2019,4
1/15/2019,5
1/16/2019,3
1/17/2019,2
1/18/2019,3
1/19/2019,5
1/20/2019,2
1/21/2019,4
1/22/2019,3
1/23/2019,4
1/24/2019,4
1/25/2019,4
1/26/2019,2
1/27/2019,5
1/28/2019,3
1/29/2019,3
1/30/2019,4
1/31/2019,3
2/1/2019,2
2/2/2019,2
2/3/2019,3
2/4/2019,3
2/5/2019,4
2/6/2019,5
2/7/2019,3
2/8/2019,3
2/9/2019,4
2/10/2019,3
2/11/2019,3
2/12/2019,5
2/13/2019,4
2/14/2019,3
2/15/2019,4
2/16/2019,2
2/17/2019,2
2/18/2019,5
2/19/2019,4
2/20/2019,5
2/21/2019,5
2/22/2019,2
2/23/2019,2
2/24/2019,5
2/25/2019,3
2/26/2019,3
2/27/2019,3
2/28/2019,3
3/1/2019,3
3/2/2019,3
3/3/2019,2
3/4/2019,3
3/5/2019,3
3/6/2019,2
3/7/2019,3
3/8/2019,3
3/9/2019,3
3/10/2019,3
3/11/2019,4
3/12/2019,4
3/13/2019,3
3/14/2019,2
3/15/2019,4
3/16/2019,5
3/17/2019,4
3/18/2019,3
3/19/2019,3
3/20/2019,5
3/21/2019,3
3/22/2019,5
3/23/2019,6
3/24/2019,4
3/25/2019,5
3/26/2019,4
3/27/2019,6
3/28/2019,5
3/29/2019,5
3/30/2019,6
3/31/2019,3
4/1/2019,4
4/2/2019,5
4/3/2019,6
4/4/2019,11
4/5/2019,4
4/6/2019,4
4/7/2019,4
4/8/2019,5
4/9/2019,3
4/10/2019,4
4/11/2019,4
4/12/2019,4
4/13/2019,3
4/14/2019,4
4/15/2019,3
4/16/2019,4
4/17/2019,5
4/18/2019,4
4/19/2019,4
4/20/2019,3
4/21/2019,4
4/22/2019,4
4/23/2019,4
4/24/2019,3
4/25/2019,3
4/26/2019,3
4/27/2019,3
4/28/2019,3
4/29/2019,3
4/30/2019,3
5/1/2019,2
5/2/2019,2
5/3/2019,3
5/4/2019,3
5/5/2019,2
5/6/2019,2
5/7/2019,3
5/8/2019,4
5/9/2019,3
5/10/2019,3
5/11/2019,4
5/12/2019,3
5/13/2019,4
5/14/2019,5
5/15/2019,5
5/16/2019,6
5/17/2019,5
5/18/2019,5
5/19/2019,4
5/20/2019,3
5/21/2019,4
5/22/2019,5
5/23/2019,4
5/24/2019,4
5/25/2019,3
5/26/2019,3
5/27/2019,5
5/28/2019,4
5/29/2019,5
5/30/2019,6
5/31/2019,3
6/1/2019,3
6/2/2019,5
6/3/2019,5
6/4/2019,3
6/5/2019,3
6/6/2019,5
6/7/2019,3
6/8/2019,3
6/9/2019,1
6/10/2019,3
6/11/2019,3
6/12/2019,4
6/13/2019,3
6/14/2019,2
6/15/2019,3
6/16/2019,4
6/17/2019,3
6/18/2019,2
6/19/2019,3
6/20/2019,4
6/21/2019,4
6/22/2019,4
6/23/2019,3
6/24/2019,4
6/25/2019,4
6/26/2019,4
6/27/2019,3
6/28/2019,3
6/29/2019,4
6/30/2019,4
7/1/2019,2
7/2/2019,3
7/3/2019,2
7/4/2019,3
7/5/2019,3
7/6/2019,2
7/7/2019,1
7/8/2019,3
7/9/2019,3
7/10/2019,4
7/11/2019,4
7/12/2019,1
7/13/2019,2
7/14/2019,4
7/15/2019,2
7/16/2019,3
7/17/2019,2
7/18/2019,2
7/19/2019,2
7/20/2019,2
7/21/2019,2
7/22/2019,3
7/23/2019,2
7/24/2019,3
7/25/2019,2
7/26/2019,2
7/27/2019,2
7/28/2019,2
7/29/2019,3
7/30/2019,2
7/31/2019,2
8/1/2019,2
8/2/2019,2
8/3/2019,2
8/4/2019,1
8/5/2019,3
8/6/2019,3
8/7/2019,3
8/8/2019,2
8/9/2019,2
8/10/2019,2
8/11/2019,2
8/12/2019,2
8/13/2019,2
8/14/2019,2
8/15/2019,2
8/16/2019,2
8/17/2019,3
8/18/2019,2
8/19/2019,1
8/20/2019,2
8/21/2019,2
8/22/2019,2
8/23/2019,2
8/24/2019,2
8/25/2019,2
8/26/2019,2
8/27/2019,2
8/28/2019,2
8/29/2019,2
8/30/2019,1
8/31/2019,2
9/1/2019,2
9/2/2019,3
9/3/2019,3
9/4/2019,3
9/5/2019,2
9/6/2019,2
9/7/2019,2
9/8/2019,2
9/9/2019,2
9/10/2019,3
9/11/2019,3
9/12/2019,3
9/13/2019,2
9/14/2019,2
9/15/2019,1
9/16/2019,2
9/17/2019,3
9/18/2019,3
9/19/2019,3
9/20/2019,2
9/21/2019,3
9/22/2019,2
9/23/2019,3
9/24/2019,2
9/25/2019,3
9/26/2019,2
9/27/2019,2
9/28/2019,2
9/29/2019,2
9/30/2019,3
10/1/2019,2
10/2/2019,2
10/3/2019,3
10/4/2019,2
10/5/2019,1
10/6/2019,2
10/7/2019,3
10/8/2019,3
10/9/2019,3
10/10/2019,3
10/11/2019,2
10/12/2019,2
10/13/2019,2
10/14/2019,2
10/15/2019,2
10/16/2019,2
10/17/2019,2
10/18/2019,2
10/19/2019,1
10/20/2019,3
10/21/2019,2
10/22/2019,2
10/23/2019,2
10/24/2019,2
10/25/2019,2
10/26/2019,2
10/27/2019,2
10/28/2019,2
10/29/2019,3
10/30/2019,3
10/31/2019,2
11/1/2019,1
11/2/2019,2
11/3/2019,2
11/4/2019,3
11/5/2019,3
11/6/2019,1
11/7/2019,2
11/8/2019,2
11/9/2019,2
11/10/2019,1
11/11/2019,3
11/12/2019,3
11/13/2019,2
11/14/2019,2
11/15/2019,2
11/16/2019,3
11/17/2019,2
11/18/2019,2
11/19/2019,3
11/20/2019,2
11/21/2019,2
11/22/2019,2
11/23/2019,1
11/24/2019,2
11/25/2019,3
11/26/2019,4
11/27/2019,2
11/28/2019,3
11/29/2019,4
11/30/2019,2
12/1/2019,2
12/2/2019,3
12/3/2019,2
12/4/2019,3
12/5/2019,2
12/6/2019,3
12/7/2019,2
12/8/2019,2
12/9/2019,3
12/10/2019,2
12/11/2019,2
12/12/2019,3
12/13/2019,3
12/14/2019,2
12/15/2019,2
12/16/2019,3
12/17/2019,2
12/18/2019,3
12/19/2019,2
12/20/2019,2
12/21/2019,1
12/22/2019,1
12/23/2019,2
12/24/2019,1
12/25/2019,2
12/26/2019,2
12/27/2019,3
12/28/2019,2
12/29/2019,2
12/30/2019,2
12/31/2019,1
1/1/2020,2
1/2/2020,2
1/3/2020,2
1/4/2020,1
1/5/2020,2
1/6/2020,2
1/7/2020,2
1/8/2020,3
1/9/2020,3
1/10/2020,2
1/11/2020,3
1/12/2020,2
1/13/2020,2
1/14/2020,4
1/15/2020,2
1/16/2020,2
1/17/2020,2
1/18/2020,2
1/19/2020,3
1/20/2020,2
1/21/2020,3
1/22/2020,2
1/23/2020,3
1/24/2020,2
1/25/2020,2
1/26/2020,2
1/27/2020,2
1/28/2020,6
1/29/2020,4
1/30/2020,3
1/31/2020,3
2/1/2020,3
2/2/2020,3
2/3/2020,3
2/4/2020,4
2/5/2020,3
2/6/2020,4
2/7/2020,3
2/8/2020,2
2/9/2020,2
2/10/2020,3
2/11/2020,2
2/12/2020,4
2/13/2020,3
2/14/2020,3
2/15/2020,2
2/16/2020,3
2/17/2020,3
2/18/2020,2
2/19/2020,2
2/20/2020,3
2/21/2020,2
2/22/2020,2
2/23/2020,3
2/24/2020,2
2/25/2020,2
2/26/2020,3
2/27/2020,3
2/28/2020,2
2/29/2020,3
3/1/2020,2
3/2/2020,3
3/3/2020,3
3/4/2020,3
3/5/2020,2
3/6/2020,2
3/7/2020,1
3/8/2020,3
3/9/2020,2
3/10/2020,2
3/11/2020,3
3/12/2020,2
3/13/2020,3
3/14/2020,2
3/15/2020,2
3/16/2020,2
3/17/2020,2
3/18/2020,2
3/19/2020,3
3/20/2020,2
3/21/2020,3
3/22/2020,2
3/23/2020,2
3/24/2020,2
3/25/2020,3
3/26/2020,2
3/27/2020,2
3/28/2020,2
3/29/2020,1
3/30/2020,2
3/31/2020,3
4/1/2020,3
4/2/2020,3
4/3/2020,2
4/4/2020,2
4/5/2020,2
4/6/2020,2
4/7/2020,2
4/8/2020,2
4/9/2020,2
4/10/2020,2
4/11/2020,2
4/12/2020,2
4/13/2020,2
4/14/2020,2
4/15/2020,2
4/16/2020,2
4/17/2020,2
4/18/2020,2
4/19/2020,2
4/20/2020,2
4/21/2020,1
4/22/2020,3
4/23/2020,3
4/24/2020,3
4/25/2020,2
4/26/2020,4
4/27/2020,4
4/28/2020,3
4/29/2020,4
4/30/2020,4
5/1/2020,2
5/2/2020,3
5/3/2020,2
5/4/2020,3
5/5/2020,2
5/6/2020,3
5/7/2020,3
5/8/2020,2
5/9/2020,2
5/10/2020,2
5/11/2020,2
5/12/2020,3
5/13/2020,3
5/14/2020,3
5/15/2020,2
5/16/2020,2
5/17/2020,2
5/18/2020,3
5/19/2020,3
5/20/2020,3
5/21/2020,3
5/22/2020,2
5/23/2020,2
5/24/2020,2
5/25/2020,3
5/26/2020,2
5/27/2020,2
5/28/2020,3
5/29/2020,4
5/30/2020,7
5/31/2020,8
6/1/2020,4
6/2/2020,4
6/3/2020,4
6/4/2020,5
6/5/2020,5
6/6/2020,4
6/7/2020,3
6/8/2020,4
6/9/2020,4
6/10/2020,3
6/11/2020,4
6/12/2020,3
6/13/2020,2
6/14/2020,3
6/15/2020,3
6/16/2020,4
6/17/2020,4
6/18/2020,5
6/19/2020,3
6/20/2020,2
6/21/2020,2
6/22/2020,3
6/23/2020,2
6/24/2020,3
6/25/2020,3
6/26/2020,2
6/27/2020,2
6/28/2020,4
6/29/2020,3
6/30/2020,3
7/1/2020,7
7/2/2020,7
7/3/2020,6
7/4/2020,6
7/5/2020,5
7/6/2020,5
7/7/2020,7
7/8/2020,11
7/9/2020,6
7/10/2020,5
7/11/2020,6
7/12/2020,4
7/13/2020,6
7/14/2020,5
7/15/2020,5
7/16/2020,3
7/17/2020,3
7/18/2020,4
7/19/2020,3
7/20/2020,5
7/21/2020,4
7/22/2020,3
7/23/2020,3
7/24/2020,4
7/25/2020,6
7/26/2020,9
7/27/2020,7
7/28/2020,7
7/29/2020,9
7/30/2020,9
7/31/2020,6
8/1/2020,6
8/2/2020,4
8/3/2020,4
8/4/2020,6
8/5/2020,4
8/6/2020,5
8/7/2020,4
8/8/2020,5
8/9/2020,6
8/10/2020,4
8/11/2020,4
