Date,attention,attention_scaled
10/1/2013,1,0.01
10/2/2013,1,0.01
10/3/2013,2,0.02
10/4/2013,1,0.01
10/5/2013,1,0.01
10/6/2013,1,0.01
10/7/2013,1,0.01
10/8/2013,1,0.01
10/9/2013,1,0.01
10/10/2013,1,0.01
10/11/2013,1,0.01
10/12/2013,1,0.01
10/13/2013,1,0.01
10/14/2013,1,0.01
10/15/2013,1,0.01
10/16/2013,1,0.01
10/17/2013,1,0.01
10/18/2013,1,0.01
10/19/2013,1,0.01
10/20/2013,1,0.01
10/21/2013,1,0.01
10/22/2013,1,0.01
10/23/2013,1,0.01
10/24/2013,1,0.01
10/25/2013,1,0.01
10/26/2013,1,0.01
10/27/2013,1,0.01
10/28/2013,1,0.01
10/29/2013,3,0.03
10/30/2013,4,0.04
10/31/2013,3,0.03
11/1/2013,2,0.02
11/2/2013,2,0.02
11/3/2013,2,0.02
11/4/2013,2,0.02
11/5/2013,2,0.02
11/6/2013,2,0.02
11/7/2013,3,0.03
11/8/2013,3,0.03
11/9/2013,3,0.03
11/10/2013,2,0.02
11/11/2013,2,0.02
11/12/2013,2,0.02
11/13/2013,3,0.03
11/14/2013,3,0.03
11/15/2013,3,0.03
11/16/2013,2,0.02
11/17/2013,3,0.03
11/18/2013,6,0.06
11/19/2013,9,0.09
11/20/2013,6,0.06
11/21/2013,5,0.05
11/22/2013,5,0.05
11/23/2013,4,0.04
11/24/2013,4,0.04
11/25/2013,4,0.04
11/26/2013,4,0.04
11/27/2013,7,0.07
11/28/2013,11,0.11
11/29/2013,9,0.09
11/30/2013,7,0.07
12/1/2013,6,0.06
12/2/2013,6,0.06
12/3/2013,6,0.06
12/4/2013,5,0.05
12/5/2013,7,0.07
12/6/2013,7,0.07
12/7/2013,7,0.07
12/8/2013,5,0.05
12/9/2013,5,0.05
12/10/2013,5,0.05
12/11/2013,4,0.04
12/12/2013,4,0.04
12/13/2013,4,0.04
12/14/2013,4,0.04
12/15/2013,4,0.04
12/16/2013,4,0.04
12/17/2013,4,0.04
12/18/2013,8,0.08
12/19/2013,6,0.06
12/20/2013,4,0.04
12/21/2013,4,0.04
12/22/2013,3,0.03
12/23/2013,3,0.03
12/24/2013,3,0.03
12/25/2013,3,0.03
12/26/2013,3,0.03
12/27/2013,3,0.03
12/28/2013,3,0.03
12/29/2013,3,0.03
12/30/2013,3,0.03
12/31/2013,3,0.03
1/1/2014,2,0.02
1/2/2014,3,0.03
1/3/2014,3,0.03
1/4/2014,3,0.03
1/5/2014,3,0.03
1/6/2014,4,0.04
1/7/2014,3,0.03
1/8/2014,3,0.03
1/9/2014,3,0.03
1/10/2014,3,0.03
1/11/2014,3,0.03
1/12/2014,3,0.03
1/13/2014,2,0.02
1/14/2014,3,0.03
1/15/2014,3,0.03
1/16/2014,3,0.03
1/17/2014,3,0.03
1/18/2014,3,0.03
1/19/2014,3,0.03
1/20/2014,3,0.03
1/21/2014,3,0.03
1/22/2014,4,0.04
1/23/2014,3,0.03
1/24/2014,3,0.03
1/25/2014,3,0.03
1/26/2014,2,0.02
1/27/2014,4,0.04
1/28/2014,4,0.04
1/29/2014,3,0.03
1/30/2014,3,0.03
1/31/2014,3,0.03
2/1/2014,2,0.02
2/2/2014,3,0.03
2/3/2014,2,0.02
2/4/2014,2,0.02
2/5/2014,2,0.02
2/6/2014,3,0.03
2/7/2014,4,0.04
2/8/2014,3,0.03
2/9/2014,3,0.03
2/10/2014,4,0.04
2/11/2014,4,0.04
2/12/2014,3,0.03
2/13/2014,3,0.03
2/14/2014,4,0.04
2/15/2014,3,0.03
2/16/2014,3,0.03
2/17/2014,3,0.03
2/18/2014,3,0.03
2/19/2014,3,0.03
2/20/2014,3,0.03
2/21/2014,3,0.03
2/22/2014,2,0.02
2/23/2014,2,0.02
2/24/2014,4,0.04
2/25/2014,9,0.09
2/26/2014,6,0.06
2/27/2014,4,0.04
2/28/2014,6,0.06
3/1/2014,4,0.04
3/2/2014,3,0.03
3/3/2014,3,0.03
3/4/2014,3,0.03
3/5/2014,4,0.04
3/6/2014,6,0.06
3/7/2014,7,0.07
3/8/2014,3,0.03
3/9/2014,3,0.03
3/10/2014,3,0.03
3/11/2014,2,0.02
3/12/2014,2,0.02
3/13/2014,2,0.02
3/14/2014,2,0.02
3/15/2014,2,0.02
3/16/2014,2,0.02
3/17/2014,2,0.02
3/18/2014,2,0.02
3/19/2014,2,0.02
3/20/2014,2,0.02
3/21/2014,2,0.02
3/22/2014,2,0.02
3/23/2014,2,0.02
3/24/2014,2,0.02
3/25/2014,2,0.02
3/26/2014,2,0.02
3/27/2014,2,0.02
3/28/2014,2,0.02
3/29/2014,2,0.02
3/30/2014,2,0.02
3/31/2014,2,0.02
