Date,attention,attention_scaled
8/9/2015,5,0.05
8/10/2015,10,0.1
8/11/2015,9,0.09
8/12/2015,9,0.09
8/13/2015,9,0.09
8/14/2015,8,0.08
8/15/2015,8,0.08
8/16/2015,6,0.06
8/17/2015,9,0.09
8/18/2015,9,0.09
8/19/2015,9,0.09
8/20/2015,10,0.1
8/21/2015,9,0.09
8/22/2015,6,0.06
8/23/2015,6,0.06
8/24/2015,11,0.11
8/25/2015,10,0.1
8/26/2015,9,0.09
8/27/2015,7,0.07
8/28/2015,9,0.09
8/29/2015,7,0.07
8/30/2015,7,0.07
8/31/2015,9,0.09
9/1/2015,10,0.1
9/2/2015,10,0.1
9/3/2015,10,0.1
9/4/2015,7,0.07
9/5/2015,7,0.07
9/6/2015,5,0.05
9/7/2015,8,0.08
9/8/2015,11,0.11
9/9/2015,11,0.11
9/10/2015,12,0.12
9/11/2015,10,0.1
9/12/2015,8,0.08
9/13/2015,9,0.09
9/14/2015,14,0.14
9/15/2015,13,0.13
9/16/2015,14,0.14
9/17/2015,18,0.18
9/18/2015,12,0.12
9/19/2015,6,0.06
9/20/2015,11,0.11
9/21/2015,16,0.16
9/22/2015,14,0.14
9/23/2015,15,0.15
9/24/2015,11,0.11
9/25/2015,10,0.1
9/26/2015,4,0.04
9/27/2015,7,0.07
9/28/2015,9,0.09
9/29/2015,12,0.12
9/30/2015,11,0.11
10/1/2015,13,0.13
10/2/2015,10,0.1
10/3/2015,7,0.07
10/4/2015,10,0.1
10/5/2015,10,0.1
10/6/2015,10,0.1
10/7/2015,12,0.12
10/8/2015,11,0.11
10/9/2015,12,0.12
10/10/2015,8,0.08
10/11/2015,8,0.08
10/12/2015,10,0.1
10/13/2015,11,0.11
10/14/2015,11,0.11
10/15/2015,8,0.08
10/16/2015,10,0.1
10/17/2015,4,0.04
10/18/2015,4,0.04
10/19/2015,10,0.1
10/20/2015,11,0.11
10/21/2015,11,0.11
10/22/2015,11,0.11
10/23/2015,8,0.08
10/24/2015,4,0.04
10/25/2015,6,0.06
10/26/2015,11,0.11
10/27/2015,9,0.09
10/28/2015,8,0.08
10/29/2015,14,0.14
10/30/2015,9,0.09
10/31/2015,6,0.06
11/1/2015,7,0.07
11/2/2015,10,0.1
11/3/2015,9,0.09
11/4/2015,9,0.09
11/5/2015,8,0.08
11/6/2015,9,0.09
11/7/2015,7,0.07
11/8/2015,7,0.07
11/9/2015,9,0.09
11/10/2015,10,0.1
11/11/2015,15,0.15
11/12/2015,11,0.11
11/13/2015,10,0.1
11/14/2015,6,0.06
