Date,attention,attention_scaled
5/31/2018,13,0.13
6/1/2018,14,0.14
6/2/2018,14,0.14
6/3/2018,15,0.15
6/4/2018,14,0.14
6/5/2018,13,0.13
6/6/2018,15,0.15
6/7/2018,12,0.12
6/8/2018,16,0.16
6/9/2018,12,0.12
6/10/2018,15,0.15
6/11/2018,23,0.23
6/12/2018,23,0.23
6/13/2018,25,0.25
6/14/2018,23,0.23
6/15/2018,15,0.15
6/16/2018,14,0.14
6/17/2018,13,0.13
6/18/2018,13,0.13
6/19/2018,14,0.14
6/20/2018,15,0.15
6/21/2018,14,0.14
6/22/2018,17,0.17
6/23/2018,17,0.17
6/24/2018,22,0.22
6/25/2018,16,0.16
6/26/2018,14,0.14
6/27/2018,15,0.15
6/28/2018,16,0.16
6/29/2018,19,0.19
6/30/2018,14,0.14
7/1/2018,14,0.14
7/2/2018,12,0.12
7/3/2018,15,0.15
7/4/2018,13,0.13
7/5/2018,13,0.13
7/6/2018,13,0.13
7/7/2018,11,0.11
7/8/2018,13,0.13
7/9/2018,15,0.15
7/10/2018,11,0.11
7/11/2018,13,0.13
7/12/2018,14,0.14
7/13/2018,9,0.09
7/14/2018,11,0.11
7/15/2018,17,0.17
7/16/2018,9,0.09
7/17/2018,24,0.24
7/18/2018,22,0.22
7/19/2018,17,0.17
7/20/2018,16,0.16
7/21/2018,13,0.13
7/22/2018,13,0.13
7/23/2018,23,0.23
7/24/2018,19,0.19
7/25/2018,16,0.16
7/26/2018,16,0.16
7/27/2018,14,0.14
7/28/2018,9,0.09
7/29/2018,10,0.1
7/30/2018,14,0.14
7/31/2018,16,0.16
8/1/2018,14,0.14
8/2/2018,13,0.13
8/3/2018,13,0.13
8/4/2018,10,0.1
8/5/2018,13,0.13
8/6/2018,16,0.16
8/7/2018,21,0.21
8/8/2018,20,0.2
8/9/2018,15,0.15
8/10/2018,17,0.17
8/11/2018,17,0.17
8/12/2018,14,0.14
8/13/2018,21,0.21
8/14/2018,21,0.21
8/15/2018,15,0.15
8/16/2018,13,0.13
8/17/2018,14,0.14
8/18/2018,13,0.13
8/19/2018,14,0.14
8/20/2018,10,0.1
8/21/2018,13,0.13
8/22/2018,17,0.17
8/23/2018,13,0.13
8/24/2018,11,0.11
8/25/2018,12,0.12
8/26/2018,14,0.14
8/27/2018,10,0.1
8/28/2018,17,0.17
8/29/2018,17,0.17
8/30/2018,9,0.09
8/31/2018,8,0.08
9/1/2018,15,0.15
9/2/2018,16,0.16
9/3/2018,13,0.13
9/4/2018,18,0.18
9/5/2018,16,0.16
9/6/2018,14,0.14
9/7/2018,14,0.14
9/8/2018,13,0.13
9/9/2018,13,0.13
9/10/2018,10,0.1
9/11/2018,12,0.12
9/12/2018,14,0.14
9/13/2018,16,0.16
9/14/2018,13,0.13
9/15/2018,11,0.11
9/16/2018,14,0.14
9/17/2018,13,0.13
9/18/2018,11,0.11
9/19/2018,12,0.12
9/20/2018,11,0.11
9/21/2018,15,0.15
9/22/2018,13,0.13
9/23/2018,16,0.16
9/24/2018,12,0.12
9/25/2018,7,0.07
9/26/2018,12,0.12
9/27/2018,16,0.16
9/28/2018,14,0.14
9/29/2018,11,0.11
9/30/2018,9,0.09
10/1/2018,11,0.11
10/2/2018,11,0.11
10/3/2018,8,0.08
10/4/2018,7,0.07
10/5/2018,11,0.11
10/6/2018,9,0.09
10/7/2018,10,0.1
10/8/2018,11,0.11
10/9/2018,11,0.11
10/10/2018,10,0.1
10/11/2018,13,0.13
10/12/2018,12,0.12
10/13/2018,9,0.09
10/14/2018,12,0.12
10/15/2018,12,0.12
10/16/2018,10,0.1
10/17/2018,9,0.09
