Date,attention,attention_scaled
5/31/2018,6,0.06
6/1/2018,4,0.04
6/2/2018,8,0.08
6/3/2018,6,0.06
6/4/2018,6,0.06
6/5/2018,5,0.05
6/6/2018,9,0.09
6/7/2018,7,0.07
6/8/2018,3,0.03
6/9/2018,7,0.07
6/10/2018,3,0.03
6/11/2018,7,0.07
6/12/2018,9,0.09
6/13/2018,7,0.07
6/14/2018,6,0.06
6/15/2018,7,0.07
6/16/2018,3,0.03
6/17/2018,6,0.06
6/18/2018,6,0.06
6/19/2018,4,0.04
6/20/2018,8,0.08
6/21/2018,4,0.04
6/22/2018,5,0.05
6/23/2018,2,0.02
6/24/2018,3,0.03
6/25/2018,5,0.05
6/26/2018,5,0.05
6/27/2018,5,0.05
6/28/2018,8,0.08
6/29/2018,6,0.06
6/30/2018,5,0.05
7/1/2018,4,0.04
7/2/2018,5,0.05
7/3/2018,5,0.05
7/4/2018,3,0.03
7/5/2018,7,0.07
7/6/2018,5,0.05
7/7/2018,2,0.02
7/8/2018,7,0.07
7/9/2018,11,0.11
7/10/2018,6,0.06
7/11/2018,7,0.07
7/12/2018,6,0.06
7/13/2018,7,0.07
7/14/2018,6,0.06
7/15/2018,8,0.08
7/16/2018,12,0.12
7/17/2018,12,0.12
7/18/2018,22,0.22
7/19/2018,12,0.12
7/20/2018,10,0.1
7/21/2018,8,0.08
7/22/2018,7,0.07
7/23/2018,8,0.08
7/24/2018,12,0.12
7/25/2018,14,0.14
7/26/2018,7,0.07
7/27/2018,7,0.07
7/28/2018,8,0.08
7/29/2018,4,0.04
7/30/2018,10,0.1
7/31/2018,4,0.04
8/1/2018,5,0.05
8/2/2018,4,0.04
8/3/2018,7,0.07
8/4/2018,5,0.05
8/5/2018,2,0.02
8/6/2018,3,0.03
8/7/2018,11,0.11
8/8/2018,9,0.09
8/9/2018,5,0.05
8/10/2018,5,0.05
8/11/2018,5,0.05
8/12/2018,8,0.08
8/13/2018,9,0.09
8/14/2018,6,0.06
8/15/2018,5,0.05
8/16/2018,5,0.05
