Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XLM,2018-05-31,0.2906200727,0.2979310208,0.2998458311,0.2891625286
XLM,2018-06-01,0.2871979998,0.2956540587,0.2987220024,0.2802624279
XLM,2018-06-02,0.2981945581,0.2886617219,0.3020954246,0.2881680483
XLM,2018-06-03,0.3023753047,0.2980234488,0.3103633498,0.2967997573
XLM,2018-06-04,0.2915691055,0.3040543498,0.3089615961,0.2855270302
XLM,2018-06-05,0.2937256135,0.2915692243,0.2985672869,0.279426079
XLM,2018-06-06,0.299450087,0.293673129,0.299450087,0.288755169
XLM,2018-06-07,0.29229936,0.299450087,0.305798406,0.289633036
XLM,2018-06-08,0.2873551092,0.29229936,0.295472766,0.2844845773
XLM,2018-06-09,0.2804406981,0.2873551092,0.2910727248,0.279316574
XLM,2018-06-10,0.2440696755,0.2804406981,0.2804406981,0.237667104
XLM,2018-06-11,0.2452148027,0.2374109243,0.2458220291,0.2353805868
XLM,2018-06-12,0.2272893758,0.2525752757,0.2531542702,0.2246816565
XLM,2018-06-13,0.2193332897,0.2272875775,0.2302942148,0.2042186488
XLM,2018-06-14,0.2399756641,0.2190247192,0.2449142143,0.2166366098
XLM,2018-06-15,0.2314821808,0.2406797063,0.2416108295,0.2308021787
XLM,2018-06-16,0.2318453881,0.2314822095,0.2333137562,0.2226985499
XLM,2018-06-17,0.2302181061,0.2296183966,0.2334467008,0.2267264358
XLM,2018-06-18,0.2337719096,0.2283487383,0.2399363109,0.2207496838
XLM,2018-06-19,0.2337343699,0.2325377711,0.2403360475,0.2305076126
XLM,2018-06-20,0.2297012726,0.2343521325,0.2356283079,0.2240267183
XLM,2018-06-21,0.2268223247,0.2306622974,0.2360460639,0.2249931058
XLM,2018-06-22,0.2015990572,0.2266606488,0.2272527806,0.1959572553
XLM,2018-06-23,0.2027201799,0.200518937,0.2042070576,0.1953395848
XLM,2018-06-24,0.1935569232,0.2026967192,0.2029133496,0.1764526404
XLM,2018-06-25,0.1977510248,0.1928422578,0.20028724,0.1879468832
XLM,2018-06-26,0.1859051572,0.1975140276,0.1981106401,0.1852889054
XLM,2018-06-27,0.1909318927,0.1862205913,0.1929654262,0.1811722806
XLM,2018-06-28,0.180089987,0.1909581174,0.1925784042,0.1786003182
XLM,2018-06-29,0.1853899408,0.1800460758,0.1860025414,0.1711114818
XLM,2018-06-30,0.1913645618,0.1852099808,0.2021888825,0.1852099808
XLM,2018-07-01,0.1987369411,0.1930177496,0.1997718162,0.1888329767
XLM,2018-07-02,0.2165399376,0.198740515,0.2168738975,0.1938035653
XLM,2018-07-03,0.2040888416,0.2164698667,0.2213373134,0.2035768386
XLM,2018-07-04,0.2105957865,0.2050719958,0.2174534848,0.2030243911
XLM,2018-07-05,0.2007463125,0.2106090355,0.2149221735,0.1975747338
XLM,2018-07-06,0.2064054237,0.2007322,0.210677558,0.195718632
XLM,2018-07-07,0.2006003627,0.2056370408,0.2087094238,0.1990921565
XLM,2018-07-08,0.2138627239,0.2005918213,0.2178285794,0.2004364702
XLM,2018-07-09,0.2087964852,0.2138622086,0.2140850439,0.2071126897
XLM,2018-07-10,0.1935117812,0.2087958645,0.2090972639,0.1908282861
XLM,2018-07-11,0.1886518064,0.1909037784,0.19387198,0.1835207379
XLM,2018-07-12,0.1815499296,0.1894529456,0.1896335745,0.1801952483
XLM,2018-07-13,0.205865648,0.1844054004,0.206662,0.181970353
XLM,2018-07-14,0.2089825645,0.2023472395,0.2139961037,0.184757151
XLM,2018-07-15,0.2202803457,0.2089521115,0.2238135375,0.2064055029
XLM,2018-07-16,0.2352217789,0.2208495899,0.2353578869,0.219606124
XLM,2018-07-17,0.2536184435,0.2394742045,0.255525041,0.22928494
XLM,2018-07-18,0.2944185747,0.2536462579,0.3266575253,0.2526416016
XLM,2018-07-19,0.3063114363,0.294560175,0.3190632165,0.2798699613
XLM,2018-07-20,0.2679709145,0.3063083809,0.3070868381,0.2634954413
XLM,2018-07-21,0.2943359518,0.2676475597,0.2969680224,0.2556044723
XLM,2018-07-22,0.2869840057,0.2944245238,0.3073668098,0.2799607449
XLM,2018-07-23,0.2857272929,0.2831881612,0.3047681189,0.2810661264
XLM,2018-07-24,0.3012920162,0.2857785661,0.3062268594,0.280440322
XLM,2018-07-25,0.3429511845,0.3010343886,0.3519833355,0.2951048707
XLM,2018-07-26,0.3003201961,0.3430893179,0.3508124638,0.295465033
XLM,2018-07-27,0.3225673606,0.308297502,0.3259031237,0.2956361127
XLM,2018-07-28,0.312145973,0.3219870755,0.3236724299,0.3082897016
XLM,2018-07-29,0.305488748,0.3121872445,0.3189748378,0.3036971415
XLM,2018-07-30,0.2938416913,0.3079480606,0.3082279429,0.2764792799
XLM,2018-07-31,0.2733180879,0.2938410919,0.295441837,0.2653931843
XLM,2018-08-01,0.2756638384,0.2770039006,0.2837367739,0.2642504456
XLM,2018-08-02,0.262936473,0.2756644757,0.282154586,0.2586664471
XLM,2018-08-03,0.2572099013,0.2594007204,0.2690474585,0.2455183609
XLM,2018-08-04,0.2388065456,0.2572633043,0.260389377,0.2342885434
XLM,2018-08-05,0.243728529,0.2389846397,0.2462365411,0.2335062617
XLM,2018-08-06,0.2301083542,0.2437287592,0.2475107037,0.2296608309
XLM,2018-08-07,0.2293816911,0.2301083399,0.2459787892,0.2261030488
XLM,2018-08-08,0.1956139221,0.2279249548,0.2279452507,0.1948149289
XLM,2018-08-09,0.2251149737,0.1955720814,0.2282587225,0.193884367
XLM,2018-08-10,0.215584972,0.2249438939,0.2395516726,0.2123190494
XLM,2018-08-11,0.2230701471,0.2143244652,0.2269689868,0.201017724
XLM,2018-08-12,0.2242905169,0.2231040016,0.2290034994,0.2137910302
XLM,2018-08-13,0.2223420223,0.2244043062,0.2429922705,0.2206123058
XLM,2018-08-14,0.2136989484,0.2223055058,0.2241862219,0.194798898
XLM,2018-08-15,0.2206221665,0.2171879159,0.2328619828,0.2169754593
XLM,2018-08-16,0.2128883982,0.2206221665,0.2218011688,0.2090945995
XLM,2018-08-17,0.2380160178,0.2132410607,0.2394551832,0.212608805
XLM,2018-08-18,0.2248320051,0.2375659919,0.2457380177,0.2176289335
XLM,2018-08-19,0.2288602592,0.2220600495,0.2321039365,0.21940018
XLM,2018-08-20,0.2169460007,0.2288594517,0.2312381476,0.2154262592
XLM,2018-08-21,0.2184396473,0.2118337491,0.2209324786,0.2115097481
XLM,2018-08-22,0.2062977293,0.2184465342,0.2311092791,0.202157628
XLM,2018-08-23,0.21550695,0.2079949542,0.2167941059,0.2074740881
XLM,2018-08-24,0.2177784451,0.2165263971,0.2194428124,0.2116668721
XLM,2018-08-25,0.2164900667,0.2187623601,0.2201397905,0.2151205971
XLM,2018-08-26,0.2119874509,0.2164903324,0.2187633685,0.208849257
XLM,2018-08-27,0.2202323816,0.2130524407,0.2211562849,0.2120715332
XLM,2018-08-28,0.2368973441,0.2199410307,0.2390120467,0.2199410307
XLM,2018-08-29,0.2277856894,0.2354693247,0.2362562936,0.2201289067
XLM,2018-08-30,0.220008951,0.2258949137,0.2279647021,0.2128607898
XLM,2018-08-31,0.221064476,0.2200122765,0.2241909096,0.2163606242
XLM,2018-09-01,0.2302969236,0.2210644761,0.2353561411,0.2210644057
XLM,2018-09-02,0.2251845776,0.2302721928,0.2324086891,0.2218489901
XLM,2018-09-03,0.2219185635,0.2251655661,0.2265227504,0.219462776
XLM,2018-09-04,0.232170635,0.2207539084,0.2355116036,0.2200426199
XLM,2018-09-05,0.2106342638,0.2323297667,0.2346566662,0.2078502001
XLM,2018-09-06,0.2049269958,0.2106344854,0.2114899416,0.192435023
XLM,2018-09-07,0.2061012187,0.2081294284,0.2130600146,0.1962205849
XLM,2018-09-08,0.1931419375,0.2060909205,0.2083213441,0.1907292643
XLM,2018-09-09,0.1908964684,0.1932776024,0.1999049725,0.1890286789
XLM,2018-09-10,0.1893515999,0.1908256738,0.1945945163,0.1856596395
XLM,2018-09-11,0.1992580772,0.1895748462,0.2102735976,0.181809051
XLM,2018-09-12,0.1993611647,0.19908434,0.2077381692,0.1843341713
XLM,2018-09-13,0.2066402435,0.196877685,0.2120634509,0.1968578113
XLM,2018-09-14,0.2021943625,0.2066402931,0.2093315918,0.1963225964
XLM,2018-09-15,0.2019206925,0.2000852751,0.2059004222,0.1994074584
XLM,2018-09-16,0.207598728,0.2019708405,0.2089471639,0.1973844804
XLM,2018-09-17,0.1957846938,0.2075626526,0.2093121089,0.1939976149
XLM,2018-09-18,0.2079038698,0.1957629573,0.2148223474,0.1933439024
XLM,2018-09-19,0.2050262605,0.2068516473,0.210844956,0.1980036907
XLM,2018-09-20,0.2389085719,0.206409204,0.245453465,0.205054681
XLM,2018-09-21,0.2381776718,0.2389085719,0.2788855262,0.2334564888
XLM,2018-09-22,0.2556758324,0.2381766962,0.2654343083,0.2319159726
XLM,2018-09-23,0.2821136196,0.2557021201,0.3032377173,0.2554510692
XLM,2018-09-24,0.2461438241,0.2820719393,0.2828569968,0.2399487188
XLM,2018-09-25,0.2389204706,0.2461438212,0.2569212454,0.2309987268
XLM,2018-09-26,0.2482776592,0.2389197012,0.25882929,0.2387157242
XLM,2018-09-27,0.2580581822,0.2482866035,0.265533206,0.2445822773
XLM,2018-09-28,0.2468389471,0.2580826331,0.2643939058,0.2455912194
XLM,2018-09-29,0.2546007322,0.2467924916,0.2612090327,0.2446001461
XLM,2018-09-30,0.2618908484,0.2546701314,0.2636959892,0.2505595781
XLM,2018-10-01,0.2593241943,0.2619125508,0.2642348448,0.2516508307
XLM,2018-10-02,0.2504968379,0.251315416,0.2542182386,0.2501141182
XLM,2018-10-03,0.2403278921,0.250567832,0.2508280634,0.2362256284
XLM,2018-10-04,0.2448908342,0.2415703715,0.2490081975,0.2407907749
XLM,2018-10-05,0.2470831438,0.2448905283,0.2493269824,0.2406674745
XLM,2018-10-06,0.240828105,0.2474182531,0.2481367365,0.2395093424
XLM,2018-10-07,0.2436342936,0.240831136,0.2449661037,0.2385151012
XLM,2018-10-08,0.2489442092,0.2450044014,0.249509866,0.2423335038
XLM,2018-10-09,0.2478437004,0.2489442087,0.2510003778,0.2436492465
XLM,2018-10-10,0.2420792362,0.2478407862,0.248145819,0.2417208516
XLM,2018-10-11,0.2130135782,0.2428392646,0.2429701501,0.2077421369
XLM,2018-10-12,0.2160287483,0.2130123596,0.2209744837,0.2053317117
XLM,2018-10-13,0.2161890838,0.2160183101,0.2198832208,0.2148578272
XLM,2018-10-14,0.2138533224,0.2161865973,0.2189358951,0.2135751694
XLM,2018-10-15,0.2258563044,0.2104784962,0.2471395085,0.2089184199
XLM,2018-10-16,0.2346376544,0.2260107867,0.2360463868,0.2256269204
XLM,2018-10-17,0.2394146867,0.2346279425,0.2524018972,0.2341243085
XLM,2018-10-18,0.2314905227,0.2391092994,0.2446357505,0.2264866574
XLM,2018-10-19,0.2449516449,0.2314905228,0.2458760754,0.231327538
XLM,2018-10-20,0.2456365361,0.2438705076,0.2515782289,0.2407968047
XLM,2018-10-21,0.2410993683,0.245417686,0.2478852975,0.2407949254
XLM,2018-10-22,0.241363604,0.2410994319,0.2438188061,0.2371261077
XLM,2018-10-23,0.2393694047,0.2413763174,0.2458070143,0.2370412361
XLM,2018-10-24,0.2364464183,0.2400527501,0.2418907216,0.2356557963
XLM,2018-10-25,0.2341460215,0.2364462377,0.2369620677,0.2313609952
XLM,2018-10-26,0.2314450444,0.2341460922,0.2343200619,0.2291161197
XLM,2018-10-27,0.2285565161,0.2313654337,0.2328355454,0.2278518859
XLM,2018-10-28,0.2330874541,0.2286689211,0.2349467106,0.2280602052
XLM,2018-10-29,0.2203117725,0.2316533184,0.2330786233,0.2185885914
XLM,2018-10-30,0.2219039604,0.2203021744,0.2246659247,0.2195516006
XLM,2018-10-31,0.2242634122,0.2219430063,0.2249154096,0.2168469386
XLM,2018-11-01,0.2243200851,0.2241987353,0.2251737642,0.2214558096
XLM,2018-11-02,0.2342321144,0.2242746769,0.2402249401,0.2237336502
XLM,2018-11-03,0.2359043767,0.2355844819,0.241418294,0.2340724462
XLM,2018-11-04,0.242853154,0.2359036455,0.2477727225,0.2346000199
XLM,2018-11-05,0.2466254898,0.2428531191,0.2466754378,0.2398083117
XLM,2018-11-06,0.265928832,0.2467163506,0.2675174388,0.246447265
XLM,2018-11-07,0.2554280184,0.2658951251,0.2665953148,0.252097223
XLM,2018-11-08,0.2563088125,0.2567273725,0.2657993651,0.2484160709
XLM,2018-11-09,0.2532605706,0.2562708053,0.2649709653,0.2510187821
XLM,2018-11-10,0.2608243705,0.2552223739,0.2610476841,0.2542501639
XLM,2018-11-11,0.272772869,0.2614329241,0.276926651,0.2604485869
XLM,2018-11-12,0.2679971536,0.273849038,0.2827002504,0.2649133389
XLM,2018-11-13,0.2563561038,0.2679985092,0.2685099208,0.2517910674
XLM,2018-11-14,0.2220850097,0.2563111556,0.2564430577,0.2143277476
XLM,2018-11-15,0.2254152395,0.221935563,0.2336958029,0.2083102808
XLM,2018-11-16,0.233135451,0.2379994977,0.2456240876,0.2314754534
XLM,2018-11-17,0.2427458927,0.2360857727,0.2457264171,0.2313403538
XLM,2018-11-18,0.2462441843,0.2426673407,0.2538940743,0.2407457452
XLM,2018-11-19,0.2208828146,0.246243022,0.249757479,0.2196644017
XLM,2018-11-20,0.1853971109,0.220887502,0.2288944873,0.1750632287
XLM,2018-11-21,0.1977106101,0.189205749,0.2079241213,0.1818906434
XLM,2018-11-22,0.1892389755,0.1976197534,0.2034500604,0.1882281774
XLM,2018-11-23,0.178724972,0.1892360685,0.1894721845,0.1724019264
XLM,2018-11-24,0.1440369214,0.1786935931,0.1836078474,0.1424195824
XLM,2018-11-25,0.1538152159,0.1501557437,0.1565285625,0.1279283713
XLM,2018-11-26,0.1381828926,0.1537483333,0.1614992439,0.1333135198
XLM,2018-11-27,0.1449164177,0.1381989556,0.1467255227,0.1344779037
XLM,2018-11-28,0.1583639078,0.1448683658,0.1659609495,0.1425490795
XLM,2018-11-29,0.1607808073,0.1583636558,0.1719432441,0.152384572
XLM,2018-11-30,0.1554395098,0.1635135241,0.1728362731,0.1504958775
XLM,2018-12-01,0.1638301392,0.1554051473,0.1687228047,0.1550810862
XLM,2018-12-02,0.1594414734,0.1638301305,0.1669106789,0.157768857
XLM,2018-12-03,0.1492327547,0.159434326,0.1599906318,0.1470941094
XLM,2018-12-04,0.1472928057,0.1492344285,0.1538510293,0.1436069712
XLM,2018-12-05,0.1337319246,0.1472831917,0.1472831917,0.1316404307
XLM,2018-12-06,0.1226652027,0.1324771431,0.1373144816,0.1226652027
XLM,2018-12-07,0.1146128375,0.12269486,0.1236537374,0.1051697876
XLM,2018-12-08,0.1187184548,0.1146119406,0.1237776414,0.1108532541
XLM,2018-12-09,0.1213050122,0.1186981471,0.1256286506,0.114428159
XLM,2018-12-10,0.1170977017,0.1214702622,0.1234090098,0.114209343
XLM,2018-12-11,0.1130404909,0.116380129,0.118032489,0.1113658216
XLM,2018-12-12,0.1136020039,0.1130407015,0.116395502,0.1111922515
XLM,2018-12-13,0.1035207141,0.1135489799,0.1137261492,0.1023619989
XLM,2018-12-14,0.0966499993,0.1035012116,0.104774221,0.0935915014
XLM,2018-12-15,0.0954085855,0.0966519444,0.0984488581,0.0916203356
XLM,2018-12-16,0.096121653,0.0942033043,0.1002449913,0.094073305
XLM,2018-12-17,0.1085630909,0.0957347472,0.1129352611,0.0954672897
XLM,2018-12-18,0.1099394259,0.1085615883,0.1119854211,0.1050527344
XLM,2018-12-19,0.1148575328,0.1149058191,0.1273427057,0.1125552387
XLM,2018-12-20,0.124593967,0.1148614683,0.1269831956,0.1117639428
XLM,2018-12-21,0.1177915388,0.1245799313,0.1339473512,0.1153794064
XLM,2018-12-22,0.1182108316,0.119037737,0.1226523485,0.1152192916
XLM,2018-12-23,0.1251066416,0.1182108316,0.1287014896,0.118184376
XLM,2018-12-24,0.1340301112,0.125460931,0.1436476823,0.1253235966
XLM,2018-12-25,0.1207416383,0.131608597,0.1326756117,0.115851895
XLM,2018-12-26,0.1196657578,0.1207356792,0.1246175722,0.1148161174
XLM,2018-12-27,0.1089468974,0.1199255862,0.1200130478,0.1082841531
XLM,2018-12-28,0.1195975291,0.1089737892,0.1225555651,0.1078141725
XLM,2018-12-29,0.1153364233,0.1202722329,0.1218462203,0.1150907
XLM,2018-12-30,0.1163523292,0.1153364233,0.1184996592,0.113073856
XLM,2018-12-31,0.110324828,0.1100645159,0.110327478,0.1100645146
XLM,2019-01-01,0.1119253252,0.1102281624,0.1134169997,0.1092817879
XLM,2019-01-02,0.1177754615,0.1119253559,0.1180464989,0.1118249599
XLM,2019-01-03,0.1125446783,0.1177754615,0.1188176584,0.1123683091
XLM,2019-01-04,0.1135094859,0.1123308609,0.1141902198,0.1110965052
XLM,2019-01-05,0.1132255254,0.1135094859,0.1148488821,0.1126945111
XLM,2019-01-06,0.1202149283,0.1128963808,0.1212719096,0.1118293198
XLM,2019-01-07,0.1231116613,0.1208984584,0.1256613771,0.1199010186
XLM,2019-01-08,0.1230459487,0.1231119878,0.1255660952,0.1189174079
XLM,2019-01-09,0.1226293768,0.122340446,0.1238641726,0.1207417333
XLM,2019-01-10,0.1066234362,0.122629296,0.1284321478,0.102552545
XLM,2019-01-11,0.1045162404,0.106678834,0.1082368583,0.1031647896
XLM,2019-01-12,0.1053771557,0.1046168797,0.105960765,0.1034688469
XLM,2019-01-13,0.1018097287,0.1055958553,0.1119173103,0.1006161292
XLM,2019-01-14,0.1079355923,0.101814299,0.1097717625,0.1015167555
