Date,attention,attention_scaled
5/31/2018,39,0.39
6/1/2018,51,0.51
6/2/2018,63,0.63
6/3/2018,63,0.63
6/4/2018,50,0.5
6/5/2018,70,0.7
6/6/2018,54,0.54
6/7/2018,54,0.54
6/8/2018,100,1
6/9/2018,34,0.34
6/10/2018,66,0.66
6/11/2018,55,0.55
6/12/2018,76,0.76
6/13/2018,46,0.46
6/14/2018,70,0.7
6/15/2018,41,0.41
6/16/2018,49,0.49
6/17/2018,70,0.7
6/18/2018,69,0.69
6/19/2018,60,0.6
6/20/2018,51,0.51
6/21/2018,32,0.32
6/22/2018,57,0.57
6/23/2018,34,0.34
6/24/2018,44,0.44
6/25/2018,43,0.43
6/26/2018,64,0.64
6/27/2018,68,0.68
6/28/2018,40,0.4
6/29/2018,32,0.32
6/30/2018,59,0.59
7/1/2018,40,0.4
7/2/2018,49,0.49
7/3/2018,49,0.49
7/4/2018,80,0.8
7/5/2018,50,0.5
7/6/2018,93,0.93
7/7/2018,49,0.49
7/8/2018,66,0.66
7/9/2018,44,0.44
7/10/2018,45,0.45
7/11/2018,53,0.53
7/12/2018,19,0.19
7/13/2018,78,0.78
7/14/2018,39,0.39
7/15/2018,67,0.67
7/16/2018,45,0.45
7/17/2018,51,0.51
7/18/2018,49,0.49
7/19/2018,41,0.41
7/20/2018,51,0.51
7/21/2018,78,0.78
7/22/2018,51,0.51
7/23/2018,49,0.49
7/24/2018,73,0.73
7/25/2018,49,0.49
7/26/2018,41,0.41
7/27/2018,27,0.27
7/28/2018,29,0.29
7/29/2018,24,0.24
7/30/2018,29,0.29
7/31/2018,51,0.51
8/1/2018,37,0.37
8/2/2018,49,0.49
8/3/2018,57,0.57
8/4/2018,51,0.51
8/5/2018,33,0.33
8/6/2018,37,0.37
8/7/2018,33,0.33
8/8/2018,61,0.61
8/9/2018,47,0.47
8/10/2018,45,0.45
8/11/2018,33,0.33
8/12/2018,29,0.29
8/13/2018,59,0.59
8/14/2018,71,0.71
8/15/2018,63,0.63
8/16/2018,71,0.71
8/17/2018,33,0.33
8/18/2018,47,0.47
8/19/2018,59,0.59
8/20/2018,35,0.35
8/21/2018,71,0.71
8/22/2018,57,0.57
8/23/2018,10,0.1
8/24/2018,39,0.39
8/25/2018,63,0.63
8/26/2018,39,0.39
8/27/2018,55,0.55
8/28/2018,41,0.41
8/29/2018,47,0.47
8/30/2018,37,0.37
8/31/2018,45,0.45
9/1/2018,24,0.24
9/2/2018,49,0.49
9/3/2018,82,0.82
9/4/2018,92,0.92
9/5/2018,67,0.67
9/6/2018,29,0.29
9/7/2018,39,0.39
9/8/2018,49,0.49
9/9/2018,45,0.45
9/10/2018,49,0.49
9/11/2018,69,0.69
9/12/2018,59,0.59
9/13/2018,65,0.65
9/14/2018,49,0.49
9/15/2018,29,0.29
9/16/2018,49,0.49
9/17/2018,35,0.35
9/18/2018,39,0.39
9/19/2018,37,0.37
9/20/2018,46,0.46
9/21/2018,49,0.49
9/22/2018,42,0.42
9/23/2018,50,0.5
9/24/2018,55,0.55
9/25/2018,51,0.51
9/26/2018,45,0.45
9/27/2018,41,0.41
9/28/2018,27,0.27
9/29/2018,67,0.67
9/30/2018,36,0.36
10/1/2018,29,0.29
10/2/2018,35,0.35
10/3/2018,42,0.42
10/4/2018,34,0.34
10/5/2018,53,0.53
10/6/2018,38,0.38
10/7/2018,33,0.33
10/8/2018,21,0.21
10/9/2018,27,0.27
10/10/2018,23,0.23
10/11/2018,39,0.39
10/12/2018,35,0.35
10/13/2018,51,0.51
10/14/2018,39,0.39
10/15/2018,39,0.39
10/16/2018,45,0.45
10/17/2018,48,0.48
10/18/2018,96,0.96
10/19/2018,89,0.89
10/20/2018,77,0.77
10/21/2018,32,0.32
10/22/2018,50,0.5
10/23/2018,51,0.51
10/24/2018,50,0.5
10/25/2018,42,0.42
10/26/2018,36,0.36
10/27/2018,23,0.23
10/28/2018,24,0.24
10/29/2018,33,0.33
10/30/2018,30,0.3
10/31/2018,37,0.37
11/1/2018,36,0.36
11/2/2018,38,0.38
11/3/2018,28,0.28
11/4/2018,29,0.29
11/5/2018,35,0.35
11/6/2018,39,0.39
11/7/2018,40,0.4
11/8/2018,33,0.33
11/9/2018,47,0.47
11/10/2018,32,0.32
11/11/2018,37,0.37
11/12/2018,18,0.18
11/13/2018,29,0.29
11/14/2018,35,0.35
11/15/2018,23,0.23
11/16/2018,39,0.39
11/17/2018,23,0.23
11/18/2018,23,0.23
11/19/2018,44,0.44
11/20/2018,32,0.32
11/21/2018,43,0.43
11/22/2018,32,0.32
11/23/2018,25,0.25
11/24/2018,47,0.47
11/25/2018,22,0.22
11/26/2018,41,0.41
11/27/2018,29,0.29
11/28/2018,35,0.35
11/29/2018,33,0.33
11/30/2018,18,0.18
12/1/2018,21,0.21
12/2/2018,38,0.38
12/3/2018,32,0.32
12/4/2018,26,0.26
12/5/2018,23,0.23
12/6/2018,31,0.31
12/7/2018,36,0.36
12/8/2018,34,0.34
12/9/2018,16,0.16
12/10/2018,27,0.27
12/11/2018,37,0.37
12/12/2018,30,0.3
12/13/2018,26,0.26
12/14/2018,31,0.31
12/15/2018,37,0.37
12/16/2018,21,0.21
12/17/2018,33,0.33
12/18/2018,21,0.21
12/19/2018,35,0.35
12/20/2018,39,0.39
12/21/2018,32,0.32
12/22/2018,24,0.24
12/23/2018,24,0.24
12/24/2018,31,0.31
12/25/2018,30,0.3
12/26/2018,24,0.24
12/27/2018,30,0.3
12/28/2018,17,0.17
12/29/2018,25,0.25
12/30/2018,18,0.18
12/31/2018,29,0.29
1/1/2019,34,0.34
1/2/2019,38,0.38
1/3/2019,28,0.28
1/4/2019,35,0.35
1/5/2019,52,0.52
1/6/2019,48,0.48
1/7/2019,39,0.39
1/8/2019,27,0.27
1/9/2019,31,0.31
1/10/2019,15,0.15
1/11/2019,22,0.22
1/12/2019,11,0.11
1/13/2019,40,0.4
1/14/2019,41,0.41
1/15/2019,33,0.33
1/16/2019,21,0.21
1/17/2019,34,0.34
1/18/2019,15,0.15
1/19/2019,31,0.31
1/20/2019,30,0.3
1/21/2019,27,0.27
1/22/2019,35,0.35
1/23/2019,27,0.27
1/24/2019,14,0.14
1/25/2019,24,0.24
1/26/2019,41,0.41
1/27/2019,13,0.13
1/28/2019,12,0.12
1/29/2019,17,0.17
1/30/2019,20,0.2
1/31/2019,21,0.21
2/1/2019,31,0.31
2/2/2019,37,0.37
2/3/2019,13,0.13
2/4/2019,9,0.09
2/5/2019,18,0.18
2/6/2019,20,0.2
2/7/2019,33,0.33
2/8/2019,21,0.21
2/9/2019,16,0.16
2/10/2019,23,0.23
2/11/2019,29,0.29
2/12/2019,26,0.26
2/13/2019,29,0.29
2/14/2019,18,0.18
2/15/2019,25,0.25
2/16/2019,34,0.34
2/17/2019,34,0.34
2/18/2019,30,0.3
2/19/2019,35,0.35
2/20/2019,26,0.26
2/21/2019,14,0.14
2/22/2019,15,0.15
2/23/2019,20,0.2
2/24/2019,34,0.34
2/25/2019,37,0.37
2/26/2019,30,0.3
2/27/2019,17,0.17
2/28/2019,21,0.21
3/1/2019,40,0.4
3/2/2019,30,0.3
3/3/2019,31,0.31
3/4/2019,45,0.45
3/5/2019,27,0.27
3/6/2019,29,0.29
3/7/2019,27,0.27
3/8/2019,30,0.3
3/9/2019,40,0.4
3/10/2019,35,0.35
3/11/2019,30,0.3
3/12/2019,51,0.51
3/13/2019,19,0.19
3/14/2019,43,0.43
3/15/2019,29,0.29
3/16/2019,24,0.24
3/17/2019,26,0.26
3/18/2019,26,0.26
3/19/2019,38,0.38
3/20/2019,31,0.31
3/21/2019,27,0.27
3/22/2019,33,0.33
3/23/2019,32,0.32
3/24/2019,25,0.25
3/25/2019,25,0.25
3/26/2019,34,0.34
3/27/2019,24,0.24
3/28/2019,29,0.29
3/29/2019,29,0.29
3/30/2019,32,0.32
3/31/2019,42,0.42
4/1/2019,19,0.19
4/2/2019,44,0.44
4/3/2019,40,0.4
4/4/2019,31,0.31
4/5/2019,28,0.28
4/6/2019,26,0.26
4/7/2019,52,0.52
4/8/2019,34,0.34
4/9/2019,24,0.24
4/10/2019,23,0.23
4/11/2019,31,0.31
4/12/2019,25,0.25
4/13/2019,37,0.37
4/14/2019,24,0.24
4/15/2019,27,0.27
4/16/2019,18,0.18
4/17/2019,19,0.19
4/18/2019,25,0.25
4/19/2019,33,0.33
4/20/2019,36,0.36
4/21/2019,23,0.23
4/22/2019,25,0.25
4/23/2019,20,0.2
4/24/2019,44,0.44
4/25/2019,40,0.4
4/26/2019,31,0.31
4/27/2019,40,0.4
4/28/2019,28,0.28
4/29/2019,24,0.24
4/30/2019,30,0.3
5/1/2019,20,0.2
5/2/2019,23,0.23
5/3/2019,21,0.21
5/4/2019,13,0.13
5/5/2019,24,0.24
5/6/2019,36,0.36
5/7/2019,35,0.35
5/8/2019,34,0.34
5/9/2019,31,0.31
5/10/2019,29,0.29
