Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XMR,2018-05-31,155.864161424,157.7530064188,158.0694317785,155.5554857929
XMR,2018-06-01,158.4583658656,155.6634063382,158.6131866055,153.1897429296
XMR,2018-06-02,162.3787694998,157.4830071163,167.4732533627,156.4850362015
XMR,2018-06-03,169.190243457,162.3912490164,176.8841800981,162.3491194653
XMR,2018-06-04,161.653845989,169.4087567293,170.240578772,157.5235568551
XMR,2018-06-05,166.892402267,161.653845989,169.462506981,157.0464266628
XMR,2018-06-06,164.7093,167.1765711,167.7021325,161.39989894
XMR,2018-06-07,163.3049145,164.7093,171.217683,162.48765618
XMR,2018-06-08,158.23576281,163.3049145,165.25846428,156.5930321515
XMR,2018-06-09,154.5026336,158.23576281,160.060936,154.06875
XMR,2018-06-10,139.3390368804,154.5026336,154.5026336,131.0383206
XMR,2018-06-11,135.4686812847,133.6362876133,136.7231295608,132.2201729618
XMR,2018-06-12,125.6486856591,137.9925205876,138.1978920939,119.8871216229
XMR,2018-06-13,119.6424771289,125.6460086319,126.4055804529,112.9634245031
XMR,2018-06-14,130.6768060274,121.4170498956,133.8873338586,117.8876720596
XMR,2018-06-15,124.2042359574,131.3482883949,132.4325868022,123.6980636351
XMR,2018-06-16,127.9710515924,124.204344836,128.0528364373,120.5371020479
XMR,2018-06-17,124.8661674796,126.5866476409,126.7640039741,123.1177318711
XMR,2018-06-18,127.3982219688,123.800575585,129.7944874205,119.5430931968
XMR,2018-06-19,125.820011261,127.6463659848,130.4531234222,124.1656642489
XMR,2018-06-20,122.3244453801,125.7064536563,125.7603445864,119.6513951625
XMR,2018-06-21,122.9914745258,122.3488089759,123.1995362028,121.8217699408
XMR,2018-06-22,114.1956497427,123.0031891257,124.2748522592,112.6654230588
XMR,2018-06-23,116.8217097533,110.9518974276,119.3187076961,110.7991018079
XMR,2018-06-24,120.6122222763,116.8216289582,124.8280498205,107.568121982
XMR,2018-06-25,127.2671661539,121.6031351059,129.5364275662,120.6506796301
XMR,2018-06-26,122.2868734161,127.1949837561,130.616381039,121.6466426598
XMR,2018-06-27,129.7233484005,122.3243599482,129.7341771876,119.3222038555
XMR,2018-06-28,127.364431159,129.6447279315,134.4608655275,127.3276296913
XMR,2018-06-29,120.1185913283,127.3389738257,127.3823161835,117.2896301561
XMR,2018-06-30,128.8909532709,120.1032438006,135.4012236941,119.8352989744
XMR,2018-07-01,129.9052912976,131.117717753,134.3726615594,126.0804750474
XMR,2018-07-02,140.9576705894,130.146823334,143.2748545372,128.3602093338
XMR,2018-07-03,137.8870976117,140.9361232196,144.4086726095,136.8255219987
XMR,2018-07-04,139.8070103697,138.4722599027,146.1721370476,137.1776664596
XMR,2018-07-05,137.4857066478,139.8080335684,141.4846124629,134.1423168316
XMR,2018-07-06,132.94646562,137.857396287,138.1202502,130.504249212
XMR,2018-07-07,131.2990047138,133.5570938993,134.8337527736,130.8187742294
XMR,2018-07-08,138.1908520238,131.2983759934,139.6631999246,131.2044203991
XMR,2018-07-09,137.7356152091,138.1908520237,141.477470654,136.4995516692
XMR,2018-07-10,122.9913830591,137.7353491768,137.7500382414,122.3473540218
XMR,2018-07-11,124.698930504,121.0997384354,130.5750292547,121.072693438
XMR,2018-07-12,119.5765330417,124.7032612948,126.550221781,118.9467285314
XMR,2018-07-13,121.78,120.4999616,125.0175,119.18053992
XMR,2018-07-14,122.8116010767,121.3646453799,124.2197809719,120.8309902601
XMR,2018-07-15,123.680573616,122.8116823255,125.4179437287,121.8481785238
XMR,2018-07-16,132.8682462274,123.7853176009,135.496764659,123.0456740358
XMR,2018-07-17,143.477502529,132.8683466731,145.8480818819,132.8516381688
