Date,attention,attention_scaled
5/31/2018,21,0.21
6/1/2018,23,0.23
6/2/2018,21,0.21
6/3/2018,22,0.22
6/4/2018,26,0.26
6/5/2018,26,0.26
6/6/2018,21,0.21
6/7/2018,21,0.21
6/8/2018,22,0.22
6/9/2018,19,0.19
6/10/2018,18,0.18
6/11/2018,20,0.2
6/12/2018,21,0.21
6/13/2018,21,0.21
6/14/2018,21,0.21
6/15/2018,20,0.2
6/16/2018,17,0.17
6/17/2018,19,0.19
6/18/2018,19,0.19
6/19/2018,19,0.19
6/20/2018,21,0.21
6/21/2018,21,0.21
6/22/2018,20,0.2
6/23/2018,17,0.17
6/24/2018,21,0.21
6/25/2018,21,0.21
6/26/2018,20,0.2
6/27/2018,17,0.17
6/28/2018,16,0.16
6/29/2018,20,0.2
6/30/2018,17,0.17
7/1/2018,17,0.17
7/2/2018,20,0.2
7/3/2018,20,0.2
7/4/2018,16,0.16
7/5/2018,16,0.16
7/6/2018,15,0.15
7/7/2018,16,0.16
7/8/2018,12,0.12
7/9/2018,16,0.16
7/10/2018,15,0.15
7/11/2018,16,0.16
7/12/2018,16,0.16
7/13/2018,15,0.15
7/14/2018,14,0.14
7/15/2018,14,0.14
7/16/2018,15,0.15
7/17/2018,19,0.19
7/18/2018,21,0.21
7/19/2018,18,0.18
7/20/2018,15,0.15
7/21/2018,13,0.13
7/22/2018,15,0.15
7/23/2018,17,0.17
7/24/2018,20,0.2
7/25/2018,16,0.16
7/26/2018,17,0.17
7/27/2018,17,0.17
7/28/2018,15,0.15
7/29/2018,16,0.16
7/30/2018,20,0.2
7/31/2018,14,0.14
8/1/2018,17,0.17
8/2/2018,18,0.18
8/3/2018,17,0.17
8/4/2018,13,0.13
8/5/2018,17,0.17
8/6/2018,17,0.17
8/7/2018,18,0.18
8/8/2018,22,0.22
8/9/2018,17,0.17
8/10/2018,17,0.17
8/11/2018,16,0.16
8/12/2018,17,0.17
8/13/2018,18,0.18
8/14/2018,21,0.21
8/15/2018,17,0.17
8/16/2018,14,0.14
8/17/2018,18,0.18
8/18/2018,16,0.16
8/19/2018,16,0.16
8/20/2018,21,0.21
8/21/2018,24,0.24
8/22/2018,22,0.22
8/23/2018,21,0.21
8/24/2018,17,0.17
8/25/2018,17,0.17
8/26/2018,17,0.17
8/27/2018,18,0.18
8/28/2018,17,0.17
8/29/2018,17,0.17
8/30/2018,18,0.18
8/31/2018,16,0.16
9/1/2018,16,0.16
9/2/2018,20,0.2
9/3/2018,15,0.15
9/4/2018,17,0.17
9/5/2018,18,0.18
9/6/2018,17,0.17
9/7/2018,18,0.18
9/8/2018,16,0.16
9/9/2018,18,0.18
9/10/2018,14,0.14
9/11/2018,18,0.18
9/12/2018,18,0.18
9/13/2018,16,0.16
9/14/2018,20,0.2
9/15/2018,17,0.17
9/16/2018,20,0.2
9/17/2018,17,0.17
9/18/2018,26,0.26
9/19/2018,24,0.24
9/20/2018,32,0.32
9/21/2018,72,0.72
9/22/2018,43,0.43
9/23/2018,33,0.33
9/24/2018,32,0.32
9/25/2018,30,0.3
9/26/2018,31,0.31
9/27/2018,26,0.26
9/28/2018,24,0.24
9/29/2018,23,0.23
9/30/2018,28,0.28
10/1/2018,33,0.33
10/2/2018,29,0.29
10/3/2018,26,0.26
10/4/2018,22,0.22
10/5/2018,22,0.22
10/6/2018,20,0.2
10/7/2018,21,0.21
10/8/2018,19,0.19
10/9/2018,23,0.23
10/10/2018,19,0.19
10/11/2018,22,0.22
10/12/2018,20,0.2
10/13/2018,17,0.17
10/14/2018,15,0.15
10/15/2018,22,0.22
10/16/2018,22,0.22
10/17/2018,21,0.21
10/18/2018,20,0.2
10/19/2018,18,0.18
10/20/2018,16,0.16
10/21/2018,18,0.18
10/22/2018,20,0.2
10/23/2018,20,0.2
10/24/2018,18,0.18
10/25/2018,17,0.17
10/26/2018,17,0.17
10/27/2018,17,0.17
10/28/2018,16,0.16
10/29/2018,17,0.17
10/30/2018,16,0.16
10/31/2018,16,0.16
11/1/2018,17,0.17
11/2/2018,17,0.17
11/3/2018,18,0.18
11/4/2018,18,0.18
11/5/2018,19,0.19
11/6/2018,31,0.31
11/7/2018,22,0.22
11/8/2018,18,0.18
11/9/2018,20,0.2
11/10/2018,16,0.16
11/11/2018,19,0.19
11/12/2018,21,0.21
11/13/2018,21,0.21
11/14/2018,21,0.21
11/15/2018,21,0.21
11/16/2018,22,0.22
11/17/2018,16,0.16
11/18/2018,20,0.2
11/19/2018,22,0.22
11/20/2018,27,0.27
11/21/2018,24,0.24
11/22/2018,17,0.17
11/23/2018,20,0.2
11/24/2018,17,0.17
11/25/2018,21,0.21
11/26/2018,18,0.18
11/27/2018,21,0.21
11/28/2018,20,0.2
11/29/2018,18,0.18
11/30/2018,21,0.21
12/1/2018,13,0.13
12/2/2018,17,0.17
12/3/2018,17,0.17
12/4/2018,17,0.17
12/5/2018,17,0.17
12/6/2018,18,0.18
12/7/2018,18,0.18
12/8/2018,17,0.17
12/9/2018,16,0.16
12/10/2018,18,0.18
12/11/2018,17,0.17
12/12/2018,17,0.17
12/13/2018,16,0.16
12/14/2018,16,0.16
12/15/2018,17,0.17
12/16/2018,15,0.15
12/17/2018,19,0.19
12/18/2018,18,0.18
12/19/2018,19,0.19
12/20/2018,20,0.2
12/21/2018,19,0.19
12/22/2018,16,0.16
12/23/2018,18,0.18
12/24/2018,23,0.23
12/25/2018,15,0.15
12/26/2018,17,0.17
12/27/2018,17,0.17
12/28/2018,18,0.18
12/29/2018,14,0.14
12/30/2018,19,0.19
12/31/2018,15,0.15
1/1/2019,17,0.17
1/2/2019,14,0.14
1/3/2019,14,0.14
1/4/2019,13,0.13
1/5/2019,15,0.15
1/6/2019,15,0.15
1/7/2019,17,0.17
1/8/2019,19,0.19
1/9/2019,18,0.18
1/10/2019,17,0.17
1/11/2019,13,0.13
1/12/2019,13,0.13
1/13/2019,14,0.14
1/14/2019,14,0.14
1/15/2019,13,0.13
1/16/2019,15,0.15
1/17/2019,14,0.14
1/18/2019,13,0.13
1/19/2019,11,0.11
1/20/2019,14,0.14
1/21/2019,13,0.13
1/22/2019,11,0.11
1/23/2019,14,0.14
1/24/2019,12,0.12
1/25/2019,12,0.12
1/26/2019,14,0.14
1/27/2019,13,0.13
1/28/2019,14,0.14
1/29/2019,14,0.14
1/30/2019,16,0.16
1/31/2019,15,0.15
2/1/2019,15,0.15
2/2/2019,16,0.16
2/3/2019,14,0.14
2/4/2019,15,0.15
2/5/2019,14,0.14
2/6/2019,14,0.14
2/7/2019,14,0.14
2/8/2019,14,0.14
2/9/2019,15,0.15
2/10/2019,14,0.14
2/11/2019,10,0.1
2/12/2019,12,0.12
2/13/2019,14,0.14
2/14/2019,14,0.14
2/15/2019,14,0.14
2/16/2019,9,0.09
2/17/2019,13,0.13
2/18/2019,17,0.17
2/19/2019,15,0.15
2/20/2019,17,0.17
2/21/2019,14,0.14
2/22/2019,12,0.12
2/23/2019,13,0.13
2/24/2019,17,0.17
2/25/2019,16,0.16
2/26/2019,17,0.17
2/27/2019,16,0.16
2/28/2019,12,0.12
3/1/2019,14,0.14
3/2/2019,14,0.14
3/3/2019,13,0.13
3/4/2019,13,0.13
3/5/2019,13,0.13
3/6/2019,13,0.13
3/7/2019,12,0.12
3/8/2019,12,0.12
3/9/2019,12,0.12
3/10/2019,14,0.14
3/11/2019,13,0.13
3/12/2019,14,0.14
3/13/2019,15,0.15
3/14/2019,14,0.14
3/15/2019,13,0.13
3/16/2019,13,0.13
3/17/2019,13,0.13
3/18/2019,12,0.12
3/19/2019,12,0.12
3/20/2019,13,0.13
3/21/2019,12,0.12
3/22/2019,11,0.11
3/23/2019,13,0.13
3/24/2019,12,0.12
3/25/2019,12,0.12
3/26/2019,12,0.12
3/27/2019,13,0.13
3/28/2019,13,0.13
3/29/2019,12,0.12
3/30/2019,14,0.14
3/31/2019,12,0.12
4/1/2019,13,0.13
4/2/2019,19,0.19
4/3/2019,20,0.2
4/4/2019,14,0.14
4/5/2019,20,0.2
4/6/2019,13,0.13
4/7/2019,15,0.15
4/8/2019,15,0.15
4/9/2019,15,0.15
4/10/2019,16,0.16
4/11/2019,13,0.13
4/12/2019,13,0.13
4/13/2019,14,0.14
4/14/2019,13,0.13
4/15/2019,13,0.13
4/16/2019,14,0.14
4/17/2019,14,0.14
4/18/2019,13,0.13
4/19/2019,13,0.13
4/20/2019,15,0.15
4/21/2019,14,0.14
4/22/2019,13,0.13
4/23/2019,15,0.15
4/24/2019,14,0.14
4/25/2019,14,0.14
4/26/2019,12,0.12
4/27/2019,11,0.11
4/28/2019,11,0.11
4/29/2019,12,0.12
4/30/2019,15,0.15
5/1/2019,16,0.16
5/2/2019,13,0.13
5/3/2019,13,0.13
5/4/2019,10,0.1
5/5/2019,15,0.15
5/6/2019,13,0.13
5/7/2019,13,0.13
5/8/2019,15,0.15
5/9/2019,14,0.14
5/10/2019,13,0.13
5/11/2019,16,0.16
5/12/2019,18,0.18
5/13/2019,17,0.17
5/14/2019,26,0.26
5/15/2019,28,0.28
5/16/2019,25,0.25
5/17/2019,17,0.17
5/18/2019,17,0.17
5/19/2019,18,0.18
5/20/2019,17,0.17
5/21/2019,16,0.16
5/22/2019,17,0.17
5/23/2019,11,0.11
5/24/2019,15,0.15
5/25/2019,14,0.14
5/26/2019,13,0.13
5/27/2019,20,0.2
5/28/2019,21,0.21
5/29/2019,21,0.21
5/30/2019,18,0.18
5/31/2019,15,0.15
6/1/2019,18,0.18
6/2/2019,15,0.15
6/3/2019,16,0.16
6/4/2019,17,0.17
6/5/2019,15,0.15
6/6/2019,14,0.14
6/7/2019,15,0.15
6/8/2019,15,0.15
6/9/2019,15,0.15
6/10/2019,14,0.14
6/11/2019,15,0.15
6/12/2019,14,0.14
6/13/2019,14,0.14
6/14/2019,15,0.15
6/15/2019,14,0.14
6/16/2019,16,0.16
6/17/2019,21,0.21
6/18/2019,21,0.21
6/19/2019,19,0.19
6/20/2019,18,0.18
6/21/2019,19,0.19
6/22/2019,24,0.24
6/23/2019,24,0.24
6/24/2019,21,0.21
6/25/2019,23,0.23
6/26/2019,28,0.28
6/27/2019,24,0.24
6/28/2019,17,0.17
6/29/2019,16,0.16
6/30/2019,12,0.12
7/1/2019,18,0.18
7/2/2019,14,0.14
7/3/2019,14,0.14
7/4/2019,13,0.13
7/5/2019,15,0.15
7/6/2019,15,0.15
7/7/2019,16,0.16
7/8/2019,16,0.16
7/9/2019,15,0.15
7/10/2019,16,0.16
7/11/2019,19,0.19
7/12/2019,17,0.17
7/13/2019,12,0.12
7/14/2019,15,0.15
7/15/2019,16,0.16
7/16/2019,16,0.16
7/17/2019,15,0.15
7/18/2019,14,0.14
7/19/2019,12,0.12
7/20/2019,11,0.11
7/21/2019,15,0.15
7/22/2019,14,0.14
7/23/2019,13,0.13
7/24/2019,11,0.11
7/25/2019,13,0.13
7/26/2019,13,0.13
7/27/2019,14,0.14
7/28/2019,12,0.12
7/29/2019,13,0.13
7/30/2019,13,0.13
7/31/2019,13,0.13
8/1/2019,12,0.12
8/2/2019,13,0.13
8/3/2019,14,0.14
8/4/2019,15,0.15
8/5/2019,13,0.13
8/6/2019,13,0.13
8/7/2019,12,0.12
8/8/2019,13,0.13
8/9/2019,14,0.14
8/10/2019,13,0.13
8/11/2019,13,0.13
8/12/2019,11,0.11
8/13/2019,13,0.13
8/14/2019,15,0.15
8/15/2019,14,0.14
8/16/2019,12,0.12
8/17/2019,14,0.14
8/18/2019,21,0.21
8/19/2019,16,0.16
8/20/2019,13,0.13
8/21/2019,12,0.12
8/22/2019,12,0.12
8/23/2019,12,0.12
8/24/2019,11,0.11
8/25/2019,13,0.13
8/26/2019,14,0.14
8/27/2019,12,0.12
8/28/2019,13,0.13
8/29/2019,12,0.12
8/30/2019,12,0.12
8/31/2019,12,0.12
9/1/2019,13,0.13
9/2/2019,11,0.11
9/3/2019,13,0.13
